Label,A,B,C,D,Image,Width,Height
pants_0,288,41,382,1196,pants_0_0.jpg,960,1280
pants_0,254,36,416,1201,pants_0_1.jpg,960,1280
pants_0,555,292,116,279,pants_0_2.jpg,1280,720
pants_0,543,285,121,346,pants_0_3.jpg,1280,720
pants_0,570,298,114,293,pants_0_4.jpg,1280,720
pants_1,107,272,709,728,pants_1_0.jpg,960,1280
pants_1,136,313,632,727,pants_1_1.jpg,960,1280
pants_1,512,335,186,219,pants_1_2.jpg,1280,720
pants_1,507,334,175,224,pants_1_3.jpg,1280,720
pants_1,535,329,166,203,pants_1_4.jpg,1280,720
pants_2,236,41,419,1203,pants_2_0.jpg,960,1280
pants_2,292,75,394,1129,pants_2_1.jpg,960,1280
pants_2,599,300,97,329,pants_2_2.jpg,1280,720
pants_2,530,295,124,312,pants_2_3.jpg,1280,720
pants_2,577,224,109,306,pants_2_4.jpg,1280,720
pants_3,291,85,836,787,pants_3_0.jpg,1280,960
pants_3,74,260,773,822,pants_3_1.jpg,960,1280
pants_3,542,309,159,239,pants_3_2.jpg,1280,720
pants_3,529,349,156,218,pants_3_3.jpg,1280,720
pants_3,529,339,144,215,pants_3_4.jpg,1280,720
