Label,A,B,C,D,Image,Width,Height
shirt_0,254,70,1626,1336,shirt_0_0.jpg,2016,1512
shirt_0,251,366,985,1297,shirt_0_1.jpg,1512,2016
shirt_0,625,264,164,287,shirt_0_2.jpg,1280,720
shirt_0,556,253,191,334,shirt_0_3.jpg,1280,720
shirt_0,661,257,186,319,shirt_0_4.jpg,1280,720
shirt_0,162,362,614,689,shirt_0_5.jpg,960,1280
shirt_0,164,367,596,678,shirt_0_6.jpg,960,1280
shrit_1,271,431,1093,1364,shirt_5_0.jpg,1512,2016
shrit_1,182,195,1574,1090,shirt_5_1.jpg,2016,1512
shrit_1,585,243,168,324,shirt_5_2.jpg,1280,720
shrit_1,556,233,175,330,shirt_5_3.jpg,1280,720
shrit_1,589,228,176,349,shirt_5_4.jpg,1280,720
shrit_1,191,162,803,603,shirt_1_5.jpg,1280,960
shrit_1,170,158,786,584,shirt_1_6.jpg,1280,960
shirt_2,261,412,1042,1351,shirt_2_0.jpg,1512,2016
shirt_2,478,242,1417,1056,shirt_2_1.jpg,2016,1512
shirt_2,605,232,167,339,shirt_2_2.jpg,1280,720
shirt_2,546,231,174,349,shirt_2_3.jpg,1280,720
shirt_2,559,227,154,335,shirt_2_4.jpg,1280,720
shirt_2,167,367,588,769,shirt_2_5.jpg,960,1280
shirt_2,176,380,583,720,shirt_2_6.jpg,960,1280
shirt_3,153,356,1230,1498,shirt_3_0.jpg,1512,2016
shirt_3,385,120,1585,1166,shirt_3_1.jpg,2016,1512
shirt_3,486,228,206,379,shirt_3_2.jpg,1280,720
shirt_3,478,225,192,380,shirt_3_3.jpg,1280,720
shirt_3,522,219,194,375,shirt_3_4.jpg,1280,720
shirt_3,189,304,571,815,shirt_3_5.jpg,960,1280
shirt_3,139,195,867,588,shirt_3_6.jpg,1280,960
shirt_4,189,322,1057,1454,shirt_4_0.jpg,1512,2016
shirt_4,395,160,1357,1007,shirt_4_1.jpg,2016,1512
shirt_4,568,243,189,373,shirt_4_2.jpg,1280,720
shirt_4,572,249,185,356,shirt_4_3.jpg,1280,720
shirt_4,527,232,175,361,shirt_4_4.jpg,1280,720
shirt_4,200,280,540,735,shirt_4_5.jpg,960,1280
shirt_4,212,300,525,712,shirt_4_6.jpg,960,1280
